国家,Zone,Shipping Class,计算方式,条件范围,运费,Currency,
India,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Kazakhstan,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Kyrgyzstan,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Laos,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Lebanon,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Macedonia,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Maldives,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Moldova,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Mongolia,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Morocco,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Myanmar,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Nepal,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Nicaragua,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Paraguay,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Philippines,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Sri Lanka,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Suriname,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Tajikistan,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Tunisia,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Uzbekistan,Zone B2,small-light,购买数量区间,<99,25.00 ,USD,
Indonesia,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Albania,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Armenia,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Azerbaijan,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Bangladesh,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Belize,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Bolivia,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Bosnia And Herzegovina,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Brunei Darussalam,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Cambodia,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Colombia,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Dominican Republic,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Ecuador,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Egypt,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
El Salvador,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Guatemala,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Honduras,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
India,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Kazakhstan,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Kyrgyzstan,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Laos,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Lebanon,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Macedonia,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Maldives,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Moldova,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Mongolia,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Morocco,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Myanmar,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Nepal,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Nicaragua,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Paraguay,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Philippines,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Sri Lanka,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Suriname,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Tajikistan,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Tunisia,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Uzbekistan,Zone B2,small-light,购买数量区间,<199,15.00 ,USD,
Indonesia,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Albania,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Armenia,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Azerbaijan,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Bangladesh,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Belize,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Bolivia,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Bosnia And Herzegovina,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Brunei Darussalam,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Cambodia,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Colombia,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Dominican Republic,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Ecuador,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Egypt,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
El Salvador,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Guatemala,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Honduras,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
India,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Kazakhstan,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Kyrgyzstan,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Laos,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Lebanon,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Macedonia,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Maldives,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Moldova,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Mongolia,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Morocco,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Myanmar,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Nepal,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Nicaragua,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Paraguay,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Philippines,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Sri Lanka,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Suriname,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Tajikistan,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Tunisia,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Uzbekistan,Zone B2,small-light,购买数量区间,>199,0.00 ,USD,
Zimbabwe,Zone C,no-free-ship,金额,<500,8.97 ,USD,
Venezuela,Zone C,no-free-ship,金额,<500,15.00 ,USD,
Ukraine,Zone C,no-free-ship,金额,<500,8.38 ,USD,
Uganda,Zone C,no-free-ship,金额,<500,12.06 ,USD,
Tanzania,Zone C,no-free-ship,金额,<500,12.79 ,USD,
Sudan,Zone C,no-free-ship,金额,<500,14.26 ,USD,
South Africa,Zone C,no-free-ship,金额,<500,12.94 ,USD,
Somalia,Zone C,no-free-ship,金额,<500,17.35 ,USD,
Russia,Zone C,no-free-ship,金额,<500,5.00 ,USD,
Peru,Zone C,no-free-ship,金额,<500,17.21 ,USD,
Pakistan,Zone C,no-free-ship,金额,<500,3.97 ,USD,
Nigeria,Zone C,no-free-ship,金额,<500,13.53 ,USD,
Mozambique,Zone C,no-free-ship,金额,<500,14.26 ,USD,
Madagascar,Zone C,no-free-ship,金额,<500,15.74 ,USD,
Libya,Zone C,no-free-ship,金额,<500,14.56 ,USD,
Kenya,Zone C,no-free-ship,金额,<500,12.06 ,USD,
Iraq,Zone C,no-free-ship,金额,<500,12.06 ,USD,
Iran,Zone C,no-free-ship,金额,<500,12.06 ,USD,
Ghana,Zone C,no-free-ship,金额,<500,15.00 ,USD,
Ethiopia,Zone C,no-free-ship,金额,<500,12.06 ,USD,
Cuba,Zone C,no-free-ship,金额,<500,15.00 ,USD,
Congo (REP. OF),Zone C,no-free-ship,金额,<500,13.53 ,USD,
Congo (DEM. REP. OF),Zone C,no-free-ship,金额,<500,17.35 ,USD,
Chile,Zone C,no-free-ship,金额,<500,7.65 ,USD,
Cameroon,Zone C,no-free-ship,金额,<500,13.82 ,USD,
Brazil,Zone C,no-free-ship,金额,<500,10.59 ,USD,
Belarus,Zone C,no-free-ship,金额,<500,16.62 ,USD,
Argentina,Zone C,no-free-ship,金额,<500,17.21 ,USD,
Angola,Zone C,no-free-ship,金额,<500,14.26 ,USD,
Afghanistan,Zone C,no-free-ship,金额,<500,14.41 ,USD,
Zimbabwe,Zone C,no-free-ship,金额,<50,2.35 ,USD,
Venezuela,Zone C,no-free-ship,金额,<50,2.43 ,USD,
Ukraine,Zone C,no-free-ship,金额,<50,1.76 ,USD,
Uganda,Zone C,no-free-ship,金额,<50,2.13 ,USD,
Tanzania,Zone C,no-free-ship,金额,<50,2.21 ,USD,
Sudan,Zone C,no-free-ship,金额,<50,3.01 ,USD,
South Africa,Zone C,no-free-ship,金额,<50,4.34 ,USD,
Somalia,Zone C,no-free-ship,金额,<50,2.79 ,USD,
Russia,Zone C,no-free-ship,金额,<50,2.35 ,USD,
Peru,Zone C,no-free-ship,金额,<50,2.65 ,USD,
Pakistan,Zone C,no-free-ship,金额,<50,1.32 ,USD,
Nigeria,Zone C,no-free-ship,金额,<50,2.28 ,USD,
Mozambique,Zone C,no-free-ship,金额,<50,2.35 ,USD,
Madagascar,Zone C,no-free-ship,金额,<50,2.50 ,USD,
Libya,Zone C,no-free-ship,金额,<50,3.31 ,USD,
Kenya,Zone C,no-free-ship,金额,<50,2.13 ,USD,
Iraq,Zone C,no-free-ship,金额,<50,2.13 ,USD,
Iran,Zone C,no-free-ship,金额,<50,2.13 ,USD,
Ghana,Zone C,no-free-ship,金额,<50,2.43 ,USD,
Ethiopia,Zone C,no-free-ship,金额,<50,2.13 ,USD,
Cuba,Zone C,no-free-ship,金额,<50,2.43 ,USD,
Congo (REP. OF),Zone C,no-free-ship,金额,<50,2.28 ,USD,
Congo (DEM. REP. OF),Zone C,no-free-ship,金额,<50,2.79 ,USD,
Chile,Zone C,no-free-ship,金额,<50,2.35 ,USD,
Cameroon,Zone C,no-free-ship,金额,<50,3.24 ,USD,
Brazil,Zone C,no-free-ship,金额,<50,5.29 ,USD,
Belarus,Zone C,no-free-ship,金额,<50,3.38 ,USD,
Argentina,Zone C,no-free-ship,金额,<50,2.65 ,USD,
Angola,Zone C,no-free-ship,金额,<50,2.35 ,USD,
Afghanistan,Zone C,no-free-ship,金额,<50,2.50 ,USD,
Zimbabwe,Zone C,no-free-ship,金额,<100,3.09 ,USD,
Venezuela,Zone C,no-free-ship,金额,<100,3.82 ,USD,
Ukraine,Zone C,no-free-ship,金额,<100,2.50 ,USD,
Uganda,Zone C,no-free-ship,金额,<100,3.24 ,USD,
Tanzania,Zone C,no-free-ship,金额,<100,3.38 ,USD,
Sudan,Zone C,no-free-ship,金额,<100,4.26 ,USD,
South Africa,Zone C,no-free-ship,金额,<100,5.29 ,USD,
Somalia,Zone C,no-free-ship,金额,<100,4.41 ,USD,
Russia,Zone C,no-free-ship,金额,<100,2.65 ,USD,
Peru,Zone C,no-free-ship,金额,<100,4.26 ,USD,
Pakistan,Zone C,no-free-ship,金额,<100,1.62 ,USD,
Nigeria,Zone C,no-free-ship,金额,<100,3.53 ,USD,
Mozambique,Zone C,no-free-ship,金额,<100,3.68 ,USD,
Madagascar,Zone C,no-free-ship,金额,<100,3.97 ,USD,
Libya,Zone C,no-free-ship,金额,<100,4.56 ,USD,
Kenya,Zone C,no-free-ship,金额,<100,3.24 ,USD,
Iraq,Zone C,no-free-ship,金额,<100,3.24 ,USD,
Iran,Zone C,no-free-ship,金额,<100,3.24 ,USD,
Ghana,Zone C,no-free-ship,金额,<100,3.82 ,USD,
Ethiopia,Zone C,no-free-ship,金额,<100,3.24 ,USD,
Cuba,Zone C,no-free-ship,金额,<100,3.82 ,USD,
Congo (REP. OF),Zone C,no-free-ship,金额,<100,3.53 ,USD,
Congo (DEM. REP. OF),Zone C,no-free-ship,金额,<100,4.41 ,USD,
Chile,Zone C,no-free-ship,金额,<100,2.94 ,USD,
Cameroon,Zone C,no-free-ship,金额,<100,4.41 ,USD,
Brazil,Zone C,no-free-ship,金额,<100,5.88 ,USD,
Belarus,Zone C,no-free-ship,金额,<100,4.85 ,USD,
Argentina,Zone C,no-free-ship,金额,<100,4.26 ,USD,
Angola,Zone C,no-free-ship,金额,<100,3.68 ,USD,
Afghanistan,Zone C,no-free-ship,金额,<100,3.82 ,USD,
Zimbabwe,Zone C,no-free-ship,金额,<300,6.03 ,USD,
Venezuela,Zone C,no-free-ship,金额,<300,9.41 ,USD,
Ukraine,Zone C,no-free-ship,金额,<300,5.44 ,USD,
Uganda,Zone C,no-free-ship,金额,<300,7.65 ,USD,
Tanzania,Zone C,no-free-ship,金额,<300,8.09 ,USD,
Sudan,Zone C,no-free-ship,金额,<300,9.26 ,USD,
South Africa,Zone C,no-free-ship,金额,<300,9.12 ,USD,
Somalia,Zone C,no-free-ship,金额,<300,10.88 ,USD,
Russia,Zone C,no-free-ship,金额,<300,3.82 ,USD,
Peru,Zone C,no-free-ship,金额,<300,10.74 ,USD,
Pakistan,Zone C,no-free-ship,金额,<300,2.79 ,USD,
Nigeria,Zone C,no-free-ship,金额,<300,8.53 ,USD,
Mozambique,Zone C,no-free-ship,金额,<300,8.97 ,USD,
Madagascar,Zone C,no-free-ship,金额,<300,9.85 ,USD,
Libya,Zone C,no-free-ship,金额,<300,9.56 ,USD,
Kenya,Zone C,no-free-ship,金额,<300,7.65 ,USD,
Iraq,Zone C,no-free-ship,金额,<300,7.65 ,USD,
Iran,Zone C,no-free-ship,金额,<300,7.65 ,USD,
Ghana,Zone C,no-free-ship,金额,<300,9.41 ,USD,
Ethiopia,Zone C,no-free-ship,金额,<300,7.65 ,USD,
Cuba,Zone C,no-free-ship,金额,<300,9.41 ,USD,
Congo (REP. OF),Zone C,no-free-ship,金额,<300,8.53 ,USD,
Congo (DEM. REP. OF),Zone C,no-free-ship,金额,<300,10.88 ,USD,
Chile,Zone C,no-free-ship,金额,<300,5.29 ,USD,
Cameroon,Zone C,no-free-ship,金额,<300,9.12 ,USD,
Brazil,Zone C,no-free-ship,金额,<300,8.24 ,USD,
Belarus,Zone C,no-free-ship,金额,<300,10.74 ,USD,
Argentina,Zone C,no-free-ship,金额,<300,10.74 ,USD,
Angola,Zone C,no-free-ship,金额,<300,8.97 ,USD,
Afghanistan,Zone C,no-free-ship,金额,<300,9.12 ,USD,
Zimbabwe,Zone C,no-free-ship,重量,<2000,31.03 ,USD,
Zimbabwe,Zone C,no-free-ship,每增加基础计费,>2000,31.03+ceil((重量-2000)/10)*1.76,USD,
Venezuela,Zone C,no-free-ship,重量,<2000,56.91 ,USD,
Venezuela,Zone C,no-free-ship,每增加基础计费,>2000,56.91+ceil((重量-2000)/10)*1.31,USD,
Ukraine,Zone C,no-free-ship,重量,<2000,30.44 ,USD,
Ukraine,Zone C,no-free-ship,每增加基础计费,>2000,30.44+ceil((重量-2000)/10)*1.18,USD,
Uganda,Zone C,no-free-ship,重量,<2000,45.15 ,USD,
Uganda,Zone C,no-free-ship,每增加基础计费,>2000,45.15+ceil((重量-2000)/10)*1.25,USD,
Tanzania,Zone C,no-free-ship,重量,<2000,48.09 ,USD,
Tanzania,Zone C,no-free-ship,每增加基础计费,>2000,48.09+ceil((重量-2000)/10)*1.26,USD,
Sudan,Zone C,no-free-ship,重量,<2000,51.76 ,USD,
Sudan,Zone C,no-free-ship,每增加基础计费,>2000,51.76+ceil((重量-2000)/10)*2.01,USD,
South Africa,Zone C,no-free-ship,重量,<2000,41.62 ,USD,
South Africa,Zone C,no-free-ship,每增加基础计费,>2000,41.62+ceil((重量-2000)/10)*3.57,USD,
Somalia,Zone C,no-free-ship,重量,<2000,65.88 ,USD,
Somalia,Zone C,no-free-ship,每增加基础计费,>2000,65.88+ceil((重量-2000)/10)*1.5,USD,
Russia,Zone C,no-free-ship,重量,<2000,13.82 ,USD,
Russia,Zone C,no-free-ship,每增加基础计费,>2000,13.82+ceil((重量-2000)/10)*2.12,USD,
Peru,Zone C,no-free-ship,重量,<2000,65.74 ,USD,
Peru,Zone C,no-free-ship,每增加基础计费,>2000,65.74+ceil((重量-2000)/10)*1.35,USD,
Pakistan,Zone C,no-free-ship,重量,<2000,12.79 ,USD,
Pakistan,Zone C,no-free-ship,每增加基础计费,>2000,12.79+ceil((重量-2000)/10)*1.09,USD,
Nigeria,Zone C,no-free-ship,重量,<2000,51.03 ,USD,
Nigeria,Zone C,no-free-ship,每增加基础计费,>2000,51.03+ceil((重量-2000)/10)*1.28,USD,
Mozambique,Zone C,no-free-ship,重量,<2000,53.97 ,USD,
Mozambique,Zone C,no-free-ship,每增加基础计费,>2000,53.97+ceil((重量-2000)/10)*1.29,USD,
Madagascar,Zone C,no-free-ship,重量,<2000,59.85 ,USD,
Madagascar,Zone C,no-free-ship,每增加基础计费,>2000,59.85+ceil((重量-2000)/10)*1.32,USD,
Libya,Zone C,no-free-ship,重量,<2000,52.06 ,USD,
Libya,Zone C,no-free-ship,每增加基础计费,>2000,52.09+ceil((重量-2000)/10)*2.31,USD,
Zambia,Rest of World,no-free-ship,金额,<100,3.38 ,USD,
Wallis And Futuna Islands,Rest of World,no-free-ship,金额,<100,6.47 ,USD,
Vanuatu,Rest of World,no-free-ship,金额,<100,5.29 ,USD,
United States Virgin Islands,Rest of World,no-free-ship,金额,<100,7.65 ,USD,
Tuvalu,Rest of World,no-free-ship,金额,<100,5.44 ,USD,
Turks And Caicos Islands,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Tristan Da Cunha,Rest of World,no-free-ship,金额,<100,8.82 ,USD,
Trinidad and Tobago,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Tortola (British Virgin Islands),Rest of World,no-free-ship,金额,<100,3.68 ,USD,
Tonga,Rest of World,no-free-ship,金额,<100,5.15 ,USD,
Tokelau,Rest of World,no-free-ship,金额,<100,7.50 ,USD,
Togo,Rest of World,no-free-ship,金额,<100,4.56 ,USD,
Timor-leste,Rest of World,no-free-ship,金额,<100,8.82 ,USD,
Swaziland,Rest of World,no-free-ship,金额,<100,3.82 ,USD,
Solomon Islands,Rest of World,no-free-ship,金额,<100,3.82 ,USD,
Sint Maarteen,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Sierra Leone,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Seychelles,Rest of World,no-free-ship,金额,<100,2.94 ,USD,
Senegal,Rest of World,no-free-ship,金额,<100,3.38 ,USD,
Sao Tome and Principe,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
San Marino,Rest of World,no-free-ship,金额,<100,5.15 ,USD,
"Samoa, Western",Rest of World,no-free-ship,金额,<100,5.88 ,USD,
Saint Vincent and The Grenadies,Rest of World,no-free-ship,金额,<100,4.26 ,USD,
Saint Pierre And Miquelon,Rest of World,no-free-ship,金额,<100,5.59 ,USD,
Saint Lucia,Rest of World,no-free-ship,金额,<100,3.68 ,USD,
Saint Kitts And Nevis,Rest of World,no-free-ship,金额,<100,4.26 ,USD,
Saint Helena,Rest of World,no-free-ship,金额,<100,5.59 ,USD,
Rwanda,Rest of World,no-free-ship,金额,<100,3.53 ,USD,
Reunion,Rest of World,no-free-ship,金额,<100,7.50 ,USD,
Pitcairn,Rest of World,no-free-ship,金额,<100,6.76 ,USD,
Papua New Guinea,Rest of World,no-free-ship,金额,<100,5.00 ,USD,
Palestine,Rest of World,no-free-ship,金额,<100,8.82 ,USD,
Northern Mariana Islands,Rest of World,no-free-ship,金额,<100,7.65 ,USD,
Norfolk Island,Rest of World,no-free-ship,金额,<100,4.85 ,USD,
Niue,Rest of World,no-free-ship,金额,<100,6.47 ,USD,
Niger,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
New Caledonia,Rest of World,no-free-ship,金额,<100,5.00 ,USD,
Nauru,Rest of World,no-free-ship,金额,<100,6.76 ,USD,
Namibia,Rest of World,no-free-ship,金额,<100,4.71 ,USD,
Montserrat,Rest of World,no-free-ship,金额,<100,4.26 ,USD,
Martinique,Rest of World,no-free-ship,金额,<100,7.06 ,USD,
Marshall Islands,Rest of World,no-free-ship,金额,<100,7.35 ,USD,
Mali,Rest of World,no-free-ship,金额,<100,4.56 ,USD,
Malawi,Rest of World,no-free-ship,金额,<100,3.53 ,USD,
Liechtenstein,Rest of World,no-free-ship,金额,<100,6.32 ,USD,
Liberia,Rest of World,no-free-ship,金额,<100,4.12 ,USD,
Lesotho,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Kosovo,Rest of World,no-free-ship,金额,<100,4.12 ,USD,
Kiribati,Rest of World,no-free-ship,金额,<100,5.44 ,USD,
Jersey,Rest of World,no-free-ship,金额,<100,5.74 ,USD,
Jamaica,Rest of World,no-free-ship,金额,<100,3.68 ,USD,
Isle of Man,Rest of World,no-free-ship,金额,<100,5.74 ,USD,
Iceland,Rest of World,no-free-ship,金额,<100,5.44 ,USD,
Haiti,Rest of World,no-free-ship,金额,<100,4.26 ,USD,
Guinea,Rest of World,no-free-ship,金额,<100,4.26 ,USD,
Guernsey,Rest of World,no-free-ship,金额,<100,5.74 ,USD,
Guam,Rest of World,no-free-ship,金额,<100,7.94 ,USD,
Guadeloupe,Rest of World,no-free-ship,金额,<100,7.21 ,USD,
Grenada,Rest of World,no-free-ship,金额,<100,3.97 ,USD,
Greenland,Rest of World,no-free-ship,金额,<100,8.97 ,USD,
Gibraltar,Rest of World,no-free-ship,金额,<100,4.85 ,USD,
Gambia,Rest of World,no-free-ship,金额,<100,3.97 ,USD,
Gabon,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
French Polynesia,Rest of World,no-free-ship,金额,<100,5.00 ,USD,
Fiji,Rest of World,no-free-ship,金额,<100,5.00 ,USD,
Faroe Islands,Rest of World,no-free-ship,金额,<100,8.24 ,USD,
Falkland Islands,Rest of World,no-free-ship,金额,<100,6.76 ,USD,
Eritrea,Rest of World,no-free-ship,金额,<100,3.97 ,USD,
Equatorial Guinea,Rest of World,no-free-ship,金额,<100,4.26 ,USD,
Dominica,Rest of World,no-free-ship,金额,<100,4.26 ,USD,
Djibouti,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Curacao,Rest of World,no-free-ship,金额,<100,3.97 ,USD,
Cote D'Ivoire,Rest of World,no-free-ship,金额,<100,3.53 ,USD,
Cook Islands,Rest of World,no-free-ship,金额,<100,8.82 ,USD,
Comoros,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Chad,Rest of World,no-free-ship,金额,<100,4.12 ,USD,
Central African Republic,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Cayman Islands,Rest of World,no-free-ship,金额,<100,3.97 ,USD,
Cape Verde,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Burundi,Rest of World,no-free-ship,金额,<100,3.97 ,USD,
Burkina Faso,Rest of World,no-free-ship,金额,<100,4.56 ,USD,
Botswana,Rest of World,no-free-ship,金额,<100,3.68 ,USD,
Bonaire,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Bhutan,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Bermuda,Rest of World,no-free-ship,金额,<100,3.68 ,USD,
Benin,Rest of World,no-free-ship,金额,<100,4.41 ,USD,
Barbados,Rest of World,no-free-ship,金额,<100,3.68 ,USD,
Bahamas,Rest of World,no-free-ship,金额,<100,3.82 ,USD,
Ascension Island,Rest of World,no-free-ship,金额,<100,5.88 ,USD,
Aruba,Rest of World,no-free-ship,金额,<100,4.56 ,USD,
Antigua and Barbuda,Rest of World,no-free-ship,金额,<100,3.53 ,USD,
Anguilla,Rest of World,no-free-ship,金额,<100,4.26 ,USD,
Andorra,Rest of World,no-free-ship,金额,<100,5.15 ,USD,
American Samoa,Rest of World,no-free-ship,金额,<100,7.50 ,USD,
Algeria,Rest of World,no-free-ship,金额,<100,3.53 ,USD,
Zambia,Rest of World,no-free-ship,每增加基础计费,>2000,48.09+ceil((重量-2000)/10)*1.26,USD,
Zambia,Rest of World,no-free-ship,重量,<2000,48.09 ,USD,
Wallis And Futuna Islands,Rest of World,no-free-ship,每增加基础计费,>2000,90.29+ceil((重量-2000)/10)*2.5,USD,
Wallis And Futuna Islands,Rest of World,no-free-ship,重量,<2000,90.29 ,USD,
Vanuatu,Rest of World,no-free-ship,每增加基础计费,>2000,69.56+ceil((重量-2000)/10)*2.25,USD,
Vanuatu,Rest of World,no-free-ship,重量,<2000,69.56 ,USD,
United States Virgin Islands,Rest of World,no-free-ship,每增加基础计费,>2000,46.76+ceil((重量-2000)/10)*5.79,USD,
United States Virgin Islands,Rest of World,no-free-ship,重量,<2000,46.76 ,USD,
Tuvalu,Rest of World,no-free-ship,每增加基础计费,>2000,80.88+ceil((重量-2000)/10)*1.87,USD,
Tuvalu,Rest of World,no-free-ship,重量,<2000,80.88 ,USD,
Turks And Caicos Islands,Rest of World,no-free-ship,每增加基础计费,>2000,65.88+ceil((重量-2000)/10)*1.5,USD,
Turks And Caicos Islands,Rest of World,no-free-ship,重量,<2000,65.88 ,USD,
Tristan Da Cunha,Rest of World,no-free-ship,每增加基础计费,>2000,137.35+ceil((重量-2000)/10)*2.74,USD,
Tristan Da Cunha,Rest of World,no-free-ship,重量,<2000,137.35 ,USD,
Trinidad and Tobago,Rest of World,no-free-ship,每增加基础计费,>2000,65.88+ceil((重量-2000)/10)*1.5,USD,
Trinidad and Tobago,Rest of World,no-free-ship,重量,<2000,65.88 ,USD,
Tortola (British Virgin Islands),Rest of World,no-free-ship,每增加基础计费,>2000,53.97+ceil((重量-2000)/10)*1.29,USD,
Tortola (British Virgin Islands),Rest of World,no-free-ship,重量,<2000,53.97 ,USD,
Tonga,Rest of World,no-free-ship,每增加基础计费,>2000,66.62+ceil((重量-2000)/10)*2.24,USD,
Tonga,Rest of World,no-free-ship,重量,<2000,66.62 ,USD,
Tokelau,Rest of World,no-free-ship,每增加基础计费,>2000,130.44+ceil((重量-2000)/10)*1.68,USD,
Tokelau,Rest of World,no-free-ship,重量,<2000,130.44 ,USD,
Togo,Rest of World,no-free-ship,每增加基础计费,>2000,52.06+ceil((重量-2000)/10)*2.31,USD,
Togo,Rest of World,no-free-ship,重量,<2000,52.06 ,USD,
Timor-leste,Rest of World,no-free-ship,每增加基础计费,>2000,137.35+ceil((重量-2000)/10)*2.74,USD,
Timor-leste,Rest of World,no-free-ship,重量,<2000,137.35 ,USD,
Swaziland,Rest of World,no-free-ship,每增加基础计费,>2000,51.32+ceil((重量-2000)/10)*1.57,USD,
Swaziland,Rest of World,no-free-ship,重量,<2000,51.32 ,USD,
Solomon Islands,Rest of World,no-free-ship,每增加基础计费,>2000,48.53+ceil((重量-2000)/10)*1.71,USD,
Solomon Islands,Rest of World,no-free-ship,重量,<2000,48.53 ,USD,
Sint Maarteen,Rest of World,no-free-ship,每增加基础计费,>2000,65.88+ceil((重量-2000)/10)*1.5,USD,
Sint Maarteen,Rest of World,no-free-ship,重量,<2000,65.88 ,USD,
Sierra Leone,Rest of World,no-free-ship,每增加基础计费,>2000,65.88+ceil((重量-2000)/10)*1.5,USD,
Sierra Leone,Rest of World,no-free-ship,重量,<2000,65.88 ,USD,
Seychelles,Rest of World,no-free-ship,每增加基础计费,>2000,42.06+ceil((重量-2000)/10)*1.09,USD,
Seychelles,Rest of World,no-free-ship,重量,<2000,42.06 ,USD,
